['2023-08-09 00:44:12', '***** BK Solution Work Logger Start *****']
['2023-08-09 00:44:46', '***** BK Solution Work Logger Start *****']
['2023-08-09 00:44:58', 'startCamera is in initializing...']
['2023-08-09 00:44:58', 'cam_initial']
['2023-08-09 00:44:59', 'startCamera initial is done']
['2023-08-09 00:45:05', 'imagesave_thread./ImageSave_2023-08-09/20230809_004504.png Saved']
['2023-08-09 00:45:06', 'imagesave_thread./ImageSave_2023-08-09/20230809_004506.png Saved']
['2023-08-09 00:47:07', '***** BK Solution Work Logger Start *****']
['2023-08-09 00:47:13', 'startCamera is in initializing...']
['2023-08-09 00:47:13', 'cam_initial']
['2023-08-09 00:47:14', 'startCamera initial is done']
['2023-08-09 00:49:35', '***** BK Solution Work Logger Start *****']
['2023-08-09 00:51:03', 'startCamera is in initializing...']
['2023-08-09 00:51:03', 'cam_initial']
['2023-08-09 00:51:03', 'startCamera initial is done']
['2023-08-09 00:51:05', 'imagesave_thread./ImageSave_2023-08-09/20230809_005105.png Saved']
['2023-08-09 00:54:27', '***** BK Solution Work Logger Start *****']
['2023-08-09 00:55:01', 'startCamera is in initializing...']
['2023-08-09 00:55:01', 'cam_initial']
['2023-08-09 00:55:02', 'startCamera initial is done']
['2023-08-09 00:57:14', '***** BK Solution Work Logger Start *****']
['2023-08-09 00:57:25', 'startCamera is in initializing...']
['2023-08-09 00:57:25', 'cam_initial']
['2023-08-09 00:57:26', 'startCamera initial is done']
['2023-08-09 00:57:27', 'imagesave_thread./ImageSave_2023-08-09/20230809_005727.png Saved']
